,index,ChannelID,SiteIndex,X,Y,Z,DurationTime,AverageForce,MaxTemperature,MaxPower,BaseImpedance,ImpedanceDrop,FTI,RFIndex,TagIndexStatus,StartTs,EndTs,PresetName,PresetId,Comment,Site,Color,Seq
68,2898,0,69,-53.153999999999996,7.353,87.24,28.433000000000003,10.214,-10000.0,-10000.0,-10000.0,-10000.0,290.0,-10000.0,0,6790290,6828640,Preset,1,,izquierda,2.0,
69,2899,0,70,-52.81100000000001,9.331,85.8,9.017000000000001,6.272,-10000.0,-10000.0,-10000.0,-10000.0,57.0,-10000.0,0,6877140,6886690,Preset,1,,izquierda,2.0,
70,2900,0,71,-54.86600000000001,33.711,84.848,19.8,8.87,-10000.0,-10000.0,-10000.0,-10000.0,176.0,-10000.0,0,6931040,6957590,Preset,1,,izquierda,2.0,
71,2900,0,72,-45.983000000000004,27.993000000000002,85.074,6.2170000000000005,15.193,-10000.0,-10000.0,-10000.0,-10000.0,94.0,-10000.0,0,6931040,6957590,Preset,1,,izquierda,2.0,
72,2901,0,73,-50.063,27.12,87.34100000000001,9.083,5.32,-10000.0,-10000.0,-10000.0,-10000.0,48.0,-10000.0,0,6964890,7007890,Preset,1,derechas,derechas,3.0,
73,2901,0,74,-54.263999999999996,34.259,86.029,18.633,10.169,-10000.0,-10000.0,-10000.0,-10000.0,189.0,-10000.0,0,6964890,7007890,Preset,1,derechas,,3.0,
74,2901,0,75,-51.515,36.424,91.21600000000001,10.917,34.221,-10000.0,-10000.0,-10000.0,-10000.0,374.0,-10000.0,0,6964890,7007890,Preset,1,derechas,,3.0,
75,2902,0,76,-52.553999999999995,40.772,97.395,9.833,4.574,-10000.0,-10000.0,-10000.0,-10000.0,45.0,-10000.0,0,7039440,7055990,Preset,1,,derechas,3.0,
76,2903,0,77,-50.898,43.733000000000004,94.831,20.983,14.671,-10000.0,-10000.0,-10000.0,-10000.0,308.0,-10000.0,0,7069890,7096490,Preset,1,,derechas,3.0,
77,2903,0,78,-56.887,45.795,98.382,5.083,10.602,-10000.0,-10000.0,-10000.0,-10000.0,54.0,-10000.0,0,7069890,7096490,Preset,1,,derechas,3.0,
78,2904,0,79,-49.04600000000001,43.049,92.39,3.5669999999999997,5.066,-10000.0,-10000.0,-10000.0,-10000.0,18.0,-10000.0,0,7163090,7167190,Preset,1,,derechas,3.0,
79,2905,0,80,-52.13,24.548000000000002,79.03399999999999,9.982999999999999,15.167,-10000.0,-10000.0,-10000.0,-10000.0,151.0,-10000.0,0,7288090,7300740,Preset,1,,derechas,3.0,
80,2906,0,81,-53.495,23.076999999999998,79.192,31.967,8.107999999999999,-10000.0,-10000.0,-10000.0,-10000.0,259.0,-10000.0,0,7323690,7358290,Preset,1,,derechas,4.0,6.0
81,2907,0,82,-50.191,20.979,80.083,16.367,15.47,-10000.0,-10000.0,-10000.0,-10000.0,253.0,-10000.0,0,7359790,7376690,Preset,1,,derechas,4.0,5.0
